week,home_team,away_team,spread,favorite_team,commence_time_mt
2,Miami Dolphins,Buffalo Bills,-2.5,Miami Dolphins,2024-09-12 18:15:00 MDT
2,Dallas Cowboys,New Orleans Saints,-6.5,Dallas Cowboys,2024-09-15 11:00:00 MDT
2,Detroit Lions,Tampa Bay Buccaneers,-7,Detroit Lions,2024-09-15 11:00:00 MDT
2,Green Bay Packers,Indianapolis Colts,-3,Indianapolis Colts,2024-09-15 11:00:00 MDT
2,Tennessee Titans,New York Jets,-3.5,New York Jets,2024-09-15 11:00:00 MDT
2,Minnesota Vikings,San Francisco 49ers,-6,San Francisco 49ers,2024-09-15 11:00:00 MDT
2,New England Patriots,Seattle Seahawks,-3.5,Seattle Seahawks,2024-09-15 11:00:00 MDT
2,Washington Commanders,New York Giants,-1.5,Washington Commanders,2024-09-15 11:00:00 MDT
2,Carolina Panthers,Los Angeles Chargers,-6.5,Los Angeles Chargers,2024-09-15 11:00:00 MDT
2,Jacksonville Jaguars,Cleveland Browns,-3,Jacksonville Jaguars,2024-09-15 11:00:00 MDT
2,Baltimore Ravens,Las Vegas Raiders,-9.5,Baltimore Ravens,2024-09-15 11:00:00 MDT
2,Arizona Cardinals,Los Angeles Rams,-1.5,Arizona Cardinals,2024-09-15 14:05:00 MDT
2,Denver Broncos,Pittsburgh Steelers,-2.5,Pittsburgh Steelers,2024-09-15 14:25:00 MDT
2,Kansas City Chiefs,Cincinnati Bengals,-6,Kansas City Chiefs,2024-09-15 14:25:00 MDT
2,Houston Texans,Chicago Bears,-7,Houston Texans,2024-09-15 18:20:00 MDT
2,Philadelphia Eagles,Atlanta Falcons,-6.5,Philadelphia Eagles,2024-09-16 18:15:00 MDT
