home_team,away_team,spread,favorite_team,commence_time_mt
Atlanta Falcons,Tampa Bay Buccaneers,-1.0,Atlanta Falcons,2024-10-03 18:15:00 MDT
Minnesota Vikings,New York Jets,-3.0,Minnesota Vikings,2024-10-06 07:30:00 MDT
Cincinnati Bengals,Baltimore Ravens,-3.0,Baltimore Ravens,2024-10-06 11:00:00 MDT
Houston Texans,Buffalo Bills,-1.0,Buffalo Bills,2024-10-06 11:00:00 MDT
Chicago Bears,Carolina Panthers,-4.0,Chicago Bears,2024-10-06 11:00:00 MDT
Washington Commanders,Cleveland Browns,-3.0,Washington Commanders,2024-10-06 11:00:00 MDT
Jacksonville Jaguars,Indianapolis Colts,-3.0,Jacksonville Jaguars,2024-10-06 11:00:00 MDT
New England Patriots,Miami Dolphins,-1.0,New England Patriots,2024-10-06 11:00:00 MDT
San Francisco 49ers,Arizona Cardinals,-8.0,San Francisco 49ers,2024-10-06 14:05:00 MDT
Denver Broncos,Las Vegas Raiders,-3.0,Denver Broncos,2024-10-06 14:05:00 MDT
Los Angeles Rams,Green Bay Packers,-3.0,Green Bay Packers,2024-10-06 14:25:00 MDT
Seattle Seahawks,New York Giants,-6.0,Seattle Seahawks,2024-10-06 14:25:00 MDT
Pittsburgh Steelers,Dallas Cowboys,-1.0,Pittsburgh Steelers,2024-10-06 18:20:00 MDT
Kansas City Chiefs,New Orleans Saints,-5.5,Kansas City Chiefs,2024-10-07 18:15:00 MDT
